(1, -30, -224, -2056, -8, -6, -19, 1100, 1500, 1462, 0, 26805854, 0)
(2, -29, -221, -2079, -9, -4, -21, 1100, 1500, 1462, 0, 26807808, 0)
(3, -27, -216, -2044, -7, -2, -19, 1100, 1500, 1462, 0, 26809762, 0)
(4, -38, -212, -2058, -9, -3, -18, 1100, 1500, 1462, 0, 26811714, 0)
(5, -18, -218, -2043, -10, -7, -20, 1100, 1500, 1462, 0, 26813668, 0)
(6, -16, -219, -2061, -10, -4, -20, 1100, 1500, 1462, 0, 26815620, 0)
(7, -18, -218, -2074, -9, -3, -21, 1100, 1500, 1462, 0, 26817574, 0)
(8, -39, -210, -2078, -8, -5, -20, 1100, 1500, 1462, 0, 26819526, 0)
(9, -22, -210, -2060, -7, -4, -21, 1100, 1500, 1462, 0, 26821480, 0)
(73, -28, -214, -2068, -10, -4, -24, 1100, 1500, 1462, 0, 26946480, 0)
(74, -23, -227, -2049, -10, -4, -19, 1100, 1500, 1462, 0, 26948432, 0)
(75, -25, -198, -2067, -9, -5, -19, 1100, 1500, 1462, 0, 26950386, 0)
(76, -36, -217, -2063, -7, -5, -20, 1100, 1500, 1462, 0, 26952340, 0)
(77, -30, -210, -2054, -8, -5, -20, 1100, 1500, 1462, 0, 26954292, 0)
(78, -24, -219, -2061, -5, -7, -19, 1100, 1500, 1462, 0, 26956246, 0)
(79, -26, -211, -2070, -7, -5, -20, 1100, 1500, 1462, 0, 26958200, 0)
(80, -25, -216, -2066, -7, -6, -21, 1100, 1500, 1462, 0, 26960154, 0)
(81, -22, -226, -2073, -10, -5, -19, 1100, 1500, 1462, 0, 26962104, 0)
(82, -18, -232, -2067, -9, -4, -21, 1100, 1500, 1462, 0, 26964058, 0)
(83, -30, -209, -2065, -7, -4, -19, 1100, 1500, 1462, 0, 26966012, 0)
(84, -32, -208, -2072, -7, -5, -20, 1100, 1500, 1462, 0, 26967966, 0)
(85, -25, -217, -2065, -6, -3, -19, 1100, 1500, 1462, 0, 26969920, 0)
(86, -33, -223, -2056, -4, -6, -22, 1100, 1500, 1462, 0, 26971872, 0)
(87, 0, -211, -2064, -9, -4, -22, 1100, 1500, 1462, 0, 26973826, 0)
(88, -20, -208, -2079, -7, -4, -21, 1100, 1500, 1462, 0, 26975778, 0)
(89, -17, -221, -2083, -8, -5, -21, 1100, 1500, 1462, 0, 26977732, 0)
(90, -27, -223, -2071, -8, -8, -19, 1100, 1500, 1462, 0, 26979684, 0)
(91, -29, -220, -2077, -9, -4, -19, 1100, 1500, 1461, 0, 26981638, 0)
(92, -28, -219, -2056, -7, -6, -20, 1100, 1500, 1461, 0, 26983592, 0)
(93, -44, -209, -2073, -6, -2, -19, 1100, 1500, 1461, 0, 26985544, 0)
(94, -39, -210, -2055, -9, -4, -19, 1100, 1500, 1461, 0, 26987498, 0)
(95, -28, -209, -2049, -7, -3, -20, 1100, 1500, 1461, 0, 26989450, 0)
(96, -27, -211, -2051, -9, -4, -17, 1100, 1500, 1461, 0, 26991404, 0)
(97, -25, -212, -2043, -9, -5, -20, 1100, 1500, 1461, 0, 26993356, 0)
(98, -13, -211, -2063, -9, -4, -21, 1100, 1500, 1461, 0, 26995310, 0)
(99, -11, -223, -2043, -9, -6, -22, 1100, 1500, 1461, 0, 26997262, 0)
(100, -20, -224, -2078, -8, -6, -19, 1100, 1500, 1461, 0, 26999216, 0)
(101, -18, -221, -2075, -7, -5, -22, 1100, 1500, 1461, 0, 27001170, 0)
(102, -32, -204, -2054, -9, -6, -21, 1100, 1500, 1462, 0, 27003122, 0)
(103, -33, -244, -2058, -10, -6, -21, 1100, 1500, 1462, 0, 27005076, 0)
(104, -46, -212, -2048, -10, -3, -20, 1100, 1500, 1462, 0, 27007028, 0)
(105, -23, -214, -2050, -6, -5, -20, 1100, 1500, 1462, 0, 27008982, 0)
(106, -28, -221, -2074, -6, -6, -19, 1100, 1500, 1462, 0, 27010934, 0)
(107, -24, -220, -2053, -9, -6, -19, 1100, 1500, 1462, 0, 27012888, 0)
(108, -26, -208, -2054, -6, -5, -18, 1100, 1500, 1462, 0, 27014842, 0)
(109, -26, -221, -2070, -10, -3, -19, 1100, 1500, 1462, 0, 27016794, 0)
(110, -40, -211, -2054, -9, -5, -20, 1100, 1500, 1462, 0, 27018748, 0)
(111, -39, -225, -2075, -9, -5, -17, 1100, 1500, 1462, 0, 27020700, 0)
(112, -24, -210, -2064, -8, -2, -20, 1100, 1500, 1462, 0, 27022654, 0)
(113, -22, -219, -2051, -10, -8, -19, 1100, 1500, 1462, 0, 27024606, 0)
(114, -34, -216, -2060, -9, -5, -17, 1100, 1500, 1462, 0, 27026560, 0)
(115, -23, -215, -2057, -8, -9, -20, 1100, 1500, 1462, 0, 27028512, 0)
(116, -16, -211, -2079, -8, -7, -20, 1100, 1500, 1462, 0, 27030466, 0)
(117, -18, -211, -2040, -5, -6, -22, 1100, 1500, 1462, 0, 27032420, 0)
(118, -17, -219, -2058, -6, -4, -19, 1100, 1500, 1462, 0, 27034372, 0)
(119, -33, -216, -2068, -10, -5, -20, 1100, 1500, 1462, 0, 27036326, 0)
(120, -15, -226, -2062, -10, -5, -20, 1100, 1500, 1462, 0, 27038278, 0)
(121, -28, -231, -2062, -9, -7, -21, 1100, 1500, 1462, 0, 27040232, 0)
(122, -24, -224, -2049, -11, -6, -22, 1100, 1500, 1462, 0, 27042184, 0)
(123, -24, -211, -2044, -9, -7, -21, 1100, 1500, 1462, 0, 27044138, 0)
(124, -18, -224, -2062, -7, -4, -20, 1100, 1500, 1462, 0, 27046092, 0)
(125, -33, -220, -2068, -9, -5, -17, 1100, 1500, 1462, 0, 27048044, 0)
(126, -17, -218, -2059, -11, -5, -19, 1100, 1500, 1462, 0, 27049998, 0)
(127, -26, -218, -2073, -11, -5, -18, 1100, 1500, 1462, 0, 27051950, 0)
(128, -36, -215, -2061, -8, -8, -19, 1100, 1500, 1462, 0, 27053904, 0)
(129, -25, -223, -2085, -9, -7, -19, 1100, 1500, 1462, 0, 27055856, 0)
(130, -23, -226, -2083, -7, -6, -22, 1100, 1500, 1462, 0, 27057810, 0)
(131, -7, -224, -2057, -9, -7, -19, 1100, 1500, 1462, 0, 27059762, 0)
(132, -21, -209, -2064, -7, -7, -20, 1100, 1500, 1462, 0, 27061716, 0)
(133, -25, -228, -2063, -8, -3, -20, 1100, 1500, 1462, 0, 27063670, 0)
(134, -20, -219, -2058, -9, -6, -21, 1100, 1500, 1462, 0, 27065622, 0)
(135, -26, -220, -2062, -8, -7, -19, 1100, 1500, 1462, 0, 27067576, 0)
(136, -24, -220, -2074, -8, -5, -21, 1100, 1500, 1462, 0, 27069528, 0)
(137, -33, -227, -2083, -7, -6, -22, 1100, 1500, 1462, 0, 27071482, 0)
(138, -25, -204, -2046, -9, -6, -23, 1100, 1500, 1462, 0, 27073434, 0)
(139, -25, -219, -2059, -9, -6, -22, 1100, 1500, 1462, 0, 27075388, 0)
(140, -32, -213, -2055, -9, -3, -22, 1100, 1500, 1462, 0, 27077342, 0)
(141, -21, -217, -2065, -11, -3, -22, 1100, 1500, 1462, 0, 27079294, 0)
(142, -18, -217, -2045, -6, -6, -17, 1100, 1500, 1462, 0, 27081248, 0)
(143, -19, -225, -2058, -5, -5, -22, 1100, 1500, 1462, 0, 27083200, 0)
(144, -28, -206, -2061, -10, -6, -19, 1100, 1500, 1462, 0, 27085154, 0)
(145, -6, -217, -2076, -9, -8, -20, 1100, 1500, 1462, 0, 27087106, 0)
(146, -22, -222, -2079, -7, -10, -19, 1100, 1500, 1462, 0, 27089060, 0)
(147, -28, -223, -2063, -7, -7, -20, 1100, 1500, 1462, 0, 27091012, 0)
(148, -18, -216, -2065, -7, -5, -18, 1100, 1500, 1462, 0, 27092966, 0)
(149, -33, -221, -2061, -7, -6, -17, 1100, 1500, 1462, 0, 27094920, 0)
(150, -37, -218, -2085, -5, -5, -19, 1100, 1500, 1462, 0, 27096872, 0)
(151, -21, -216, -2057, -9, -8, -19, 1100, 1500, 1462, 0, 27098826, 0)
(152, -21, -216, -2054, -6, -4, -22, 1100, 1500, 1462, 0, 27100778, 0)
(153, -38, -219, -2063, -5, -4, -21, 1100, 1500, 1462, 0, 27102732, 0)
(154, -27, -211, -2052, -8, -7, -19, 1100, 1500, 1462, 0, 27104684, 0)
(155, -42, -206, -2072, -10, -7, -22, 1100, 1500, 1462, 0, 27106638, 0)
(156, -26, -196, -2065, -10, -7, -23, 1100, 1500, 1462, 0, 27108592, 0)
(157, -34, -220, -2058, -7, -5, -20, 1100, 1500, 1462, 0, 27110544, 0)
(158, -16, -221, -2053, -8, -8, -18, 1100, 1500, 1462, 0, 27112498, 0)
(159, -34, -211, -2080, -7, -5, -22, 1100, 1500, 1462, 0, 27114450, 0)
(160, -23, -218, -2069, -7, -5, -19, 1100, 1500, 1462, 0, 27116404, 0)
(161, -21, -211, -2057, -8, -8, -18, 1100, 1500, 1462, 0, 27118356, 0)
(162, -20, -223, -2071, -5, -6, -21, 1100, 1500, 1462, 0, 27120310, 0)
(163, -30, -213, -2067, -8, -7, -19, 1100, 1500, 1462, 0, 27122262, 0)
(164, -30, -209, -2062, -6, -9, -20, 1100, 1500, 1462, 0, 27124216, 0)
(165, -34, -217, -2060, -7, -6, -22, 1100, 1500, 1462, 0, 27126170, 0)
(166, -28, -215, -2056, -8, -6, -18, 1100, 1500, 1462, 0, 27128122, 0)
(167, -35, -216, -2093, -9, -8, -20, 1100, 1500, 1462, 0, 27130076, 0)
(168, -23, -233, -2073, -9, -7, -19, 1100, 1500, 1462, 0, 27132028, 0)
(169, -18, -233, -2037, -6, -8, -22, 1100, 1500, 1462, 0, 27133982, 0)
(170, -37, -221, -2080, -7, -8, -21, 1100, 1500, 1462, 0, 27135934, 0)
(171, -32, -209, -2082, -8, -5, -20, 1100, 1500, 1462, 0, 27137888, 0)
(172, -19, -220, -2046, -9, -7, -20, 1100, 1500, 1462, 0, 27139842, 0)
(173, -19, -212, -2051, -9, -5, -22, 1100, 1500, 1462, 0, 27141794, 0)
(174, -21, -212, -2060, -9, -5, -20, 1100, 1500, 1462, 0, 27143748, 0)
(175, -26, -217, -2082, -7, -7, -21, 1100, 1500, 1462, 0, 27145700, 0)
(176, -13, -233, -2079, -8, -8, -22, 1100, 1500, 1462, 0, 27147654, 0)
(177, -26, -208, -2037, -7, -5, -17, 1100, 1500, 1462, 0, 27149606, 0)
(178, -26, -212, -2064, -7, -4, -21, 1100, 1500, 1462, 0, 27151560, 0)
(179, -37, -210, -2061, -8, -7, -19, 1100, 1500, 1462, 0, 27153512, 0)
(180, -27, -212, -2069, -6, -8, -20, 1100, 1500, 1462, 0, 27155466, 0)
(181, -33, -217, -2071, -6, -6, -21, 1100, 1500, 1462, 0, 27157420, 0)
(182, -30, -201, -2046, -11, -3, -19, 1100, 1500, 1462, 0, 27159372, 0)
(183, -39, -210, -2056, -9, -5, -21, 1100, 1500, 1462, 0, 27161326, 0)
(184, -37, -223, -2062, -8, -6, -17, 1100, 1500, 1462, 0, 27163278, 0)
(185, -19, -220, -2051, -7, -5, -19, 1100, 1500, 1462, 0, 27165232, 0)
(186, -10, -217, -2075, -6, -6, -20, 1100, 1500, 1462, 0, 27167184, 0)
(187, -21, -214, -2056, -10, -6, -20, 1100, 1500, 1462, 0, 27169138, 0)
(188, -29, -232, -2057, -9, -6, -21, 1100, 1500, 1462, 0, 27171092, 0)
(189, -24, -227, -2050, -8, -6, -20, 1100, 1500, 1462, 0, 27173044, 0)
(190, -23, -221, -2057, -8, -7, -19, 1100, 1500, 1462, 0, 27174998, 0)
(191, -28, -225, -2073, -8, -5, -21, 1100, 1500, 1462, 0, 27176950, 0)
(192, -19, -212, -2066, -7, -5, -18, 1100, 1500, 1462, 0, 27178904, 0)
(193, -24, -223, -2063, -9, -3, -21, 1100, 1500, 1462, 0, 27180856, 0)
(194, -23, -233, -2066, -7, -7, -20, 1100, 1500, 1462, 0, 27182810, 0)
(195, -13, -215, -2050, -6, -6, -16, 1100, 1500, 1462, 0, 27184762, 0)
(196, -21, -207, -2081, -9, -7, -24, 1100, 1500, 1462, 0, 27186716, 0)
(197, -28, -207, -2064, -7, -4, -19, 1100, 1500, 1462, 0, 27188670, 0)
(198, -28, -207, -2057, -8, -6, -20, 1100, 1500, 1462, 0, 27190622, 0)
(199, -23, -216, -2073, -8, -3, -18, 1100, 1500, 1462, 0, 27192576, 0)
(200, -16, -214, -2089, -8, -6, -16, 1100, 1500, 1462, 0, 27194528, 0)
(201, -30, -221, -2060, -8, -5, -18, 1100, 1500, 1462, 0, 27196482, 0)
(202, -25, -225, -2065, -9, -7, -20, 1100, 1500, 1462, 0, 27198434, 0)
(203, -16, -221, -2062, -7, -7, -20, 1100, 1500, 1462, 0, 27200388, 0)
(204, -16, -207, -2058, -6, -6, -19, 1100, 1500, 1462, 0, 27202342, 0)
(205, -23, -215, -2058, -8, -5, -18, 1100, 1500, 1462, 0, 27204294, 0)
(206, -29, -216, -2072, -9, -5, -20, 1100, 1500, 1462, 0, 27206248, 0)
(207, -19, -220, -2057, -7, -6, -21, 1100, 1500, 1462, 0, 27208200, 0)
(208, -30, -230, -2038, -7, -2, -21, 1100, 1500, 1462, 0, 27210154, 0)
(209, -23, -221, -2069, -5, -5, -20, 1100, 1500, 1462, 0, 27212106, 0)
(210, -12, -220, -2051, -8, -2, -20, 1100, 1500, 1462, 0, 27214060, 0)
(211, -21, -220, -2042, -5, -6, -23, 1100, 1500, 1462, 0, 27216012, 0)
(212, -19, -226, -2068, -10, -8, -18, 1100, 1500, 1462, 0, 27217966, 0)
(213, -23, -216, -2076, -10, -6, -21, 1100, 1500, 1462, 0, 27219920, 0)
(214, -35, -227, -2054, -8, -4, -19, 1100, 1500, 1462, 0, 27221872, 0)
(215, -30, -222, -2063, -6, -6, -19, 1100, 1500, 1462, 0, 27223828, 0)
(216, -27, -207, -2058, -10, -6, -20, 1100, 1500, 1462, 0, 27225780, 0)
(217, -33, -223, -2037, -7, -3, -22, 1100, 1500, 1462, 0, 27227734, 0)
(218, -35, -223, -2054, -6, -2, -19, 1100, 1500, 1462, 0, 27229686, 0)
(219, -24, -209, -2071, -7, -6, -20, 1100, 1500, 1462, 0, 27231640, 0)
(220, -30, -220, -2079, -7, -5, -20, 1100, 1500, 1462, 0, 27233592, 0)
(221, -21, -207, -2074, -6, -5, -19, 1100, 1500, 1462, 0, 27235546, 0)
(222, -8, -223, -2056, -6, -6, -19, 1100, 1500, 1462, 0, 27237500, 0)
(223, -19, -230, -2048, -6, -6, -21, 1100, 1500, 1462, 0, 27239452, 0)
(224, -18, -216, -2042, -11, -8, -19, 1100, 1500, 1462, 0, 27241406, 0)
